PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-04064547-n,i57983,n,omw-en31-03795479-n,reaction-propulsion engine,реактивний двигун,Реактивний двигун,"реакційний двигун, двигун реакції, реакційно-руховий двигун","reaction-propulsion engine, reaction engine","реактивний або ракетний двигун, заснований на формі аеродинамічного двигуна, в якому транспортний засіб випускає високошвидкісний потік",a jet or rocket engine based on a form of aerodynamic propulsion in which the vehicle emits a high-speed stream,engine,ion engine; jet engine
omw-en31-03601478-n,i55253,n,omw-en31-03795479-n,jet engine,реактивний двигун,реактивний двигун,реактивний двигун,jet engine,"газова турбіна виробляє потік гарячого газу, який рухає реактивний літак за допомогою реакційного руху",a gas turbine produces a stream of hot gas that propels a jet plane by reaction propulsion,"reaction-propulsion engine, reaction engine","fanjet, fan-jet, fanjet engine, turbojet, turbojet engine, turbofan, turbofan engine; ramjet, ramjet engine, atherodyde, athodyd, flying drainpipe; rocket, rocket engine"
omw-en31-04106269-n,i58224,n,omw-en31-03795479-n,rocket,ракета,ракета,"Ракета, Ракетний двигун","rocket, rocket engine","реактивний двигун, що містить власне паливо і приводиться в рух реакції",a jet engine containing its own propellant and driven by reaction propulsion,jet engine,"booster, booster rocket, booster unit, takeoff booster, takeoff rocket; nuclear rocket; retrorocket; space rocket; thruster"
omw-en31-00896250-n,i40105,n,omw-en31-00895653-n,exercise,вправа,вправа,"вправа, декламація, практична сесія, дриль","exercise, practice, drill, practice session, recitation",систематичне тренування багаторазовими повтореннями,systematic training by multiple repetitions,"training, preparation, grooming","fire drill; manual of arms, manual; military drill; rehearsal; rehearsal, dry run; review, brushup; scrimmage; shadowboxing; target practice"
omw-en31-13104346-n,i105470,n,omw-en31-00017402-n,vascular plant,судинна рослина,судинна рослина,"трахеофіт, судинна рослина","vascular plant, tracheophyte","зелена рослина з судинною системою: папороті, голонасінні, покритонасінні","green plant having a vascular system: ferns, gymnosperms, angiosperms","plant, flora, plant life","pteridophyte, nonflowering plant; spermatophyte, phanerogam, seed plant; herb, herbaceous plant; halophyte; succulent; cultivar; cultivated plant; weed; evergreen, evergreen plant; deciduous plant; vine; creeper; woody plant, ligneous plant; geophyte; desert plant, xerophyte, xerophytic plant, xerophile, xerophilous plant; mesophyte, mesophytic plant; aquatic plant, water plant, hydrophyte, hydrophytic plant; tuberous plant; bulbous plant; cormous plant; psilophyte; psilophyton"
omw-en31-07475061-n,i75920,n,omw-en31-07473244-n,footrace,пішохідні перегони.,footrace,nan,"footrace, foot race, run","будь-яка з різних рослин різних родів сімейства Compositae має квіти, які можна сушити без втрати форми або кольору",a race run on foot,race,"funrun, fun run; marathon; obstacle race; steeplechase; track event"
omw-en31-07484001-n,i75976,n,omw-en31-07473244-n,track event,трек-подія,трекові змагання,"подія на треку, трекова подія",track event,"гонка, що виконується на треку (в приміщенні або на відкритому повітрі)",a footrace performed on a track (indoor or outdoor),"footrace, foot race, run","dash; hurdles, hurdling, hurdle race; mile"
omw-en31-08180172-n,i80050,n,omw-en31-08180691-n,legislature,законодавчий орган,законодавчий орган,"законодавчий орган, законотворці, загальні збори, Генеральна Асамблея","legislature, legislative assembly, legislative body, general assembly, law-makers","особи, які вносять, змінюють або скасовують закони",persons who make or amend or repeal laws,assembly,"senate; Congress, United States Congress, U.S. Congress, US Congress; house; legislative council; congress; diet; parliament; Duma"
omw-en31-08179924-n,i80049,n,omw-en31-08180691-n,house,будинок,палата,"будинок, дім",house,"офіційна асамблея, що має законодавчі повноваження",an official assembly having legislative powers,"legislature, legislative assembly, legislative body, general assembly, law-makers","United States House of Representatives, U.S. House of Representatives, US House of Representatives, House of Representatives, U.S. House, US House; House of Burgesses; House of Commons, British House of Commons; House of Lords, British House of Lords; Dail Eireann, Dail; Seanad Eireann, Seanad"
omw-en31-04234206-n,i58990,n,omw-en31-03239009-n,sketch,ескіз,ескіз,"дослідження, ескіз, етюд","sketch, study",попередній малюнок для подальшої розробки,preliminary drawing for later elaboration,drawing,"design; draft, rough drawing; vignette"
omw-en31-02297716-n,i47603,n,omw-en31-02285853-n,noctuid moth,нічний метелик,совок,"нічниця, нічна міль","noctuid moth, noctuid, owlet moth",зазвичай тьмяно-кольорова нічна міль середнього розміру,usually dull-colored medium-sized nocturnal moth; the usually smooth-bodied larvae are destructive agricultural pests,moth,"underwing; antler moth, Cerapteryx graminis; heliothis moth, Heliothis zia; armyworm, Pseudaletia unipuncta; Spodoptera exigua; Spodoptera frugiperda"
omw-en31-07791881-n,i77943,n,omw-en31-07792842-n,saltwater fish,морська риба,морська риба,морська риба,saltwater fish,м'якоть риби з моря використовується в якості їжі,flesh of fish from the sea used as food,seafood,"bream, sea bream; sea bass, bass; grouper; croaker; whiting; whiting; cusk; dolphinfish, mahimahi; monkfish; tuna, tuna fish, tunny; mackerel; pompano; blowfish, sea squab, puffer, pufferfish; herring; kingfish; lingcod; bluefish; swordfish; butterfish; cod, codfish; pollack, pollock; porgy, scup; scup; flatfish; rockfish; sailfish; weakfish; sardine, pilchard; snapper; red rockfish"
omw-en31-07800498-n,i77994,n,omw-en31-07792842-n,herring,оселедець,оселедець,оселедець,herring,цінна м'якоть жирної риби з мілководдя північної Атлантики або Тихого океану,valuable flesh of fatty fish from shallow waters of northern Atlantic or Pacific; usually salted or pickled,saltwater fish,"kipper, kippered herring; bloater; pickled herring; red herring, smoked herring; sprat, brisling; whitebait"
omw-en31-07801318-n,i77999,n,omw-en31-07792842-n,pickled herring,маринований оселедець,маринований оселедець,маринований оселедець,pickled herring,оселедець зберігається в маринаючій рідині (зазвичай розсіл або оцет),herring preserved in a pickling liquid (usually brine or vinegar),herring,rollmops
omw-en31-04347828-n,i59702,n,omw-en31-02886585-n,strongbox,сейф,сейф,скринька,"strongbox, deedbox",міцно виготовлений ящик для зберігання грошей або цінностей,a strongly made box for holding money or valuables; can be locked,box,"cashbox, money box, till; safe; safe-deposit, safe-deposit box, safety-deposit, safety deposit box, deposit box, lockbox"
omw-en31-02980398-n,i51602,n,omw-en31-02886585-n,cashbox,Каса,Каса,"скринька, до","cashbox, money box, till",сейф для зберігання готівки,a strongbox for holding cash,"strongbox, deedbox","cash register, register"
omw-en31-03742461-n,i56110,n,omw-en31-03743963-n,mechanical device,механічний пристрій,механічний пристрій,механічний пристрій,mechanical device,"механізм, що складається з пристрою, що працює за механічними принципами",mechanism consisting of a device that works on mechanical principles,mechanism,"broadcaster, spreader; bumper; bumper guard; carburetor, carburettor; compressor; copyholder; coupling, coupler; curler, hair curler, roller, crimper; diaphragm, stop; dicer; electromechanical device; escapement; gearshift, gearstick, shifter, gear lever; grab; hook, claw; machine, simple machine; pantograph; piston, plunger; propeller, propellor; pump; ratchet, rachet, ratch; record changer, auto-changer, changer; ride; seeder; shutter; ski binding, binding; splicer; splint; sprinkler; stator, stator coil; stoker; stretcher; striker; supply chamber; swing; tone arm, pickup, pickup arm; trap; vibrator; vibrator; voting machine; weathervane, weather vane, vane, wind vane; wheelwork; winder; winder, key; windshield wiper, windscreen wiper, wiper, wiper blade"
omw-en31-03571509-n,i55079,n,omw-en31-03743963-n,inclined plane,похила площина,Похила площина,похила площина,inclined plane,проста машина для підйому об'єктів,a simple machine for elevating objects; consists of plane surface that makes an acute angle with the horizontal,"machine, simple machine","ramp, incline; screw; wedge"
omw-en31-04576806-n,i61059,n,omw-en31-03743963-n,wedge,клин,клин,клин,wedge,"щось тверде, що можна використовувати як похилу площину (у формі V), яку можна штовхати між двома речами, щоб розділити їх",something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them,inclined plane,"ax head, axe head; colter, coulter; moldboard, mouldboard; plowshare, ploughshare, share; quoin, coign, coigne; shim"
omw-en31-09957538-n,i89083,n,omw-en31-10644908-n,coloratura,колористика,колоратура,"колоратура, колоратурне сопрано, колоратура сопрано","coloratura, coloratura soprano","ліричне сопрано, що спеціалізується на колоратурній вокальній музиці",a lyric soprano who specializes in coloratura vocal music,soprano,"Callas, Maria Callas, Maria Meneghini Callas; Melba, Dame Nellie Melba, Helen Porter Mitchell; Pons, Lily Pons, Alice-Josephine Pons"
omw-en31-14760132-n,i114433,n,omw-en31-14757125-n,coagulase,коагулаза,коагулаза,коагулаза,coagulase,"фермент, який викликає коагуляцію",an enzyme that induces coagulation,enzyme,"thrombin; rennin, chymosin"
omw-en31-03098030-n,i52290,n,omw-en31-03080712-n,consumer goods,споживчі товари,споживчі товари,споживчі товари,consumer goods,"товари (як продукти харчування або одяг), призначені для безпосереднього використання або споживання",goods (as food or clothing) intended for direct use or consumption,"commodity, trade good, good","clothing, article of clothing, vesture, wear, wearable, habiliment; durables, durable goods, consumer durables; fashion; grocery, foodstuff"
omw-en31-02957776-n,i51473,n,omw-en31-03080712-n,cap,шапка,кепка,"шапка, шапочка",cap,облягаючий головний убір,a tight-fitting headdress,"headdress, headgear","balaclava, balaclava helmet; Balmoral, bluebonnet; baseball cap, jockey cap, golf cap; bathing cap, swimming cap; beret; biggin; biretta, berretta, birretta; calpac, calpack, kalpac; cloth cap, flat cap; cockscomb, coxcomb; coonskin cap, coonskin; fez, tarboosh; garrison cap, overseas cap; Glengarry; kalansuwa; kepi, peaked cap, service cap, yachting cap; liberty cap; mobcap; mortarboard; nightcap; pinner; sailor cap; shower cap; ski cap, stocking cap, toboggan cap; skullcap; tam, tam-o'-shanter, tammy; watch cap; wishing cap"
omw-en31-04239262-n,i59024,n,omw-en31-03080712-n,skullcap,тюбетейка,тюбетейка,"тюбетейка, черепна чаша",skullcap,"закруглена безкрая шапочка, що прилягає до тімені",rounded brimless cap fitting the crown of the head,cap,"beanie, beany; coif; yarmulke, yarmulka, yarmelke"
omw-en31-04178892-n,i58663,n,omw-en31-03093163-n,semiconductor device,напівпровідниковий пристрій,напівпровідниковий прилад,"напівпровідник, напівпровідниковий блок, напівпровідниковий прилад, напівпровідниковий пристрій","semiconductor device, semiconductor unit, semiconductor","провідник, виготовлений з напівпровідникового матеріалу",a conductor made with semiconducting material,conductor,"chip, microchip, micro chip, silicon chip, microprocessor chip; diode, semiconductor diode, junction rectifier, crystal rectifier; n-type semiconductor; p-type semiconductor; thermistor, thermal resistor; transistor, junction transistor, electronic transistor"
omw-en31-14747789-n,i114375,n,omw-en31-14747240-n,catalyst,каталізатор,каталізатор,"прискорювач, каталізатор","catalyst, accelerator","(хімія) речовина, яка ініціює або прискорює хімічну реакцію без впливу на себе",(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected,activator,biocatalyst; enzyme; platinum black
omw-en31-11711362-n,i98786,n,omw-en31-13173519-n,floral leaf,квітковий листок,квітковий листок,квітковий лист,floral leaf,"видозмінений лист, що входить до складу квітки",a modified leaf that is part of a flower,"leaf, leafage, foliage","petal, flower petal; sepal"
omw-en31-08018127-n,i79339,n,omw-en31-08016141-n,mathematical space,математичний простір,математичний простір,"математичний простір, топологічний простір","mathematical space, topological space","(математика) будь-який набір точок, які задовольняють набору постулатів якогось роду",(mathematics) any set of points that satisfy a set of postulates of some kind,"space, infinite; set",subspace; null space; manifold; metric space
omw-en31-14975516-n,i115700,n,omw-en31-14625472-n,methane series,метанова серія,метановий ряд,"метановий ряд, парафін, парафіновий ряд, лужний ряд","methane series, alkane series, alkane, paraffin series, paraffin",ряд неароматичних насичених вуглеводнів із загальною формулою CnH(2n+2),a series of non-aromatic saturated hydrocarbons with the general formula CnH(2n+2),aliphatic compound,"butane; amine, aminoalkane; ethane, C2H6; heptane; hexane; methane"
omw-en31-14763183-n,i114450,n,omw-en31-14625472-n,amine,амін,амін,"амін, аміноалкане","amine, aminoalkane","сполука, отримана з аміаку шляхом заміни атомів водню одновалентними вуглеводневими радикалами",a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals,"methane series, alkane series, alkane, paraffin series, paraffin","histamine; aniline, aniline oil, aminobenzine, phenylamine; enamine; monoamine; ptomaine, ptomain"
omw-en31-14977952-n,i115716,n,omw-en31-14625472-n,monoamine,моноамін,моноамін,моноамін,monoamine,"молекула, що містить одну амінну групу (особливо ту, яка є нейромедіатором)",a molecule containing one amine group (especially one that is a neurotransmitter),"amine, aminoalkane",monoamine neurotransmitter
omw-en31-14831907-n,i114853,n,omw-en31-14625472-n,monoamine neurotransmitter,моноаміновий нейромедіатор,моноаміновий нейромедіатор,моноамінний нейромедіатор,monoamine neurotransmitter,"моноамін, який функціонально важливий для нейронної передачі",a monoamine that is functionally important in neural transmission,monoamine,"noradrenaline, norepinephrine; serotonin, 5-hydroxytryptamine; dopamine, Dopastat, Intropin"
omw-en31-07811727-n,i78069,n,omw-en31-07791351-n,salmon,лосось,лосось,Лосось,salmon,м'якоть будь-якої з різних морських або прісноводних риб родини лососевих,flesh of any of various marine or freshwater fish of the family Salmonidae,fish,"Atlantic salmon; red salmon, sockeye, sockeye salmon; chinook salmon, chinook, king salmon; silver salmon, coho salmon, coho, cohoe; smoked salmon; kippered salmon"
omw-en31-13767560-n,i109108,n,omw-en31-13750609-n,large integer,велике ціле число,велике ціле,велике ціле число,large integer,"ціле число, що дорівнює або більше десяти",an integer equal to or greater than ten,"integer, whole number","ten, 10, X, tenner, decade; eleven, 11, XI; twelve, 12, XII, dozen; teens; thirteen, 13, XIII, baker's dozen, long dozen; fourteen, 14, XIV; fifteen, 15, XV; sixteen, 16, XVI; seventeen, 17, XVII; eighteen, 18, XVIII; nineteen, 19, XIX; twenty, 20, XX; twenty-one, 21, XXI; twenty-two, 22, XXII; twenty-three, 23, XXIII; twenty-four, 24, XXIV, two dozen; twenty-five, 25, XXV; twenty-six, 26, XXVI; twenty-seven, 27, XXVII; twenty-eight, 28, XXVIII; twenty-nine, 29, XXIX; thirty, 30, XXX; forty, 40, XL; fifty, 50, L; sixty, 60, LX; seventy, 70, LXX; seventy-eight, 78, LXXVIII; eighty, 80, LXXX, fourscore; ninety, 90, XC; hundred, 100, C, century, one C; gross, 144; long hundred, great hundred, 120; five hundred, 500, D; thousand, one thousand, 1000, M, K, chiliad, G, grand, thou, yard; great gross, 1728; ten thousand, 10000, myriad; hundred thousand, 100000, lakh; million, 1000000, one thousand thousand, meg; crore; billion, one thousand million, 1000000000; billion, one million million, 1000000000000; trillion, one million million, 1000000000000; trillion, one million million million; quadrillion; quadrillion; quintillion; sextillion; septillion; octillion; aleph-null, aleph-nought, aleph-zero"
omw-en31-13773969-n,i109151,n,omw-en31-13750609-n,billion,мільярд,мільярд,"мільярд, тисяча мільйонів","billion, one thousand million, 1000000000","число, представлене як одиниця, за яким слідують 9 нулів",the number that is represented as a one followed by 9 zeros,large integer,milliard
omw-en31-09830819-n,i88310,n,omw-en31-10196781-n,art historian,мистецтвознавець,мистецтвознавець,"історик мистецтва, Мистецтвознавець",art historian,історик мистецтва,a historian of art,"historian, historiographer","Panofsky, Erwin Panofsky; Vasari, Giorgio Vasari; Warburg, Aby Warburg, Aby Moritz Warburg; Winckelmann, Johann Winckelmann, Johann Joachim Winckelmann"
omw-en31-14947596-n,i115528,n,omw-en31-14712661-n,iron ore,залізна руда,залізна руда,залізна руда,iron ore,"руда, з якої можна видобувати залізо",an ore from which iron can be extracted,ore,"goethite, gothite; chamosite; taconite; hematite, haematite; lepidocrocite; limonite; magnetite, magnetic iron-ore; ruddle, reddle, raddle; siderite, chalybite"
omw-en31-00856347-n,i39887,n,omw-en31-00845915-n,perversion,збочення,збочення,"збочення, сексуальне збочення","perversion, sexual perversion",аберантна сексуальна практика,an aberrant sexual practice,"sexual activity, sexual practice, sex, sex activity","paraphilia; sodomy, buggery, anal sex, anal intercourse; oral sex, head"
omw-en31-00739003-n,i39309,n,omw-en31-00845915-n,paraphilia,парафілія,парафілія,парафілія,paraphilia,аномальна сексуальна активність,abnormal sexual activity,"perversion, sexual perversion","exhibitionism, immodesty; fetishism, fetichism; pedophilia, paedophilia; voyeurism; zoophilia, zoophilism; pederasty, paederasty"
omw-en31-14842408-n,i114921,n,omw-en31-14831008-n,compound,з'єднання,сполука,"з'єднання, хімічна сполука, сполука","compound, chemical compound","(хімія) речовина, утворена хімічним об'єднанням двох або більше елементів або інгредієнтів у певній пропорції за вагою",(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight,"chemical, chemical substance","vanillin; acceptor; adduct; antiknock; acid; arsenide; hydrogen cyanide; anionic compound; base, alkali; binary compound; taurine; chromogen; manganese tetroxide; monomer; ozonide; organic compound; ammine; anhydride; azide; bitter principle; buffer; calcium-cyanamide, cyanamide; carbonyl; carbon disulfide; cofactor; cementite, iron carbide; chloropicrin, nitrochloroform; complex, coordination compound; allomorph; corrosive; aluminate; defoliant; depilatory; derivative; dimer; fixing agent, fixer; flavone; formulation, preparation; enantiomorph, enantiomer; exotherm; goitrogen; benzofuran, coumarone, cumarone; synthetic, synthetic substance; hydrate; hydroxide; incense; inorganic compound; repellent, repellant; repellent, repellant; iodocompound; isomer; hydroxide, hydrated oxide; menthol; nitrogen mustard; nitride; oxide; polymer; preservative; quinone, benzoquinone; salt; caustic; nitrate; chloride; heterocyclic compound, heterocyclic, heterocycle; silicide; siloxane; solvate; sternutator, sternutatory; stripper; sulfide, sulphide; telluride; tenderizer, tenderiser; tetrachloride; triazine; yellowcake, U308; enamel; pregnanediol"
omw-en31-14751849-n,i114398,n,omw-en31-14831008-n,organic compound,органічна сполука,органічна сполука,органічна сполука,organic compound,будь -яка сполука вуглецю та інший елемент або радикал,any compound of carbon and another element or a radical,"compound, chemical compound","aldehyde; aliphatic compound; alkylbenzene; alkyl halide, haloalkane; amino acid, aminoalkanoic acid; diamine; enol; halon; peptone; quaternary ammonium compound; proenzyme, zymogen; propylthiouracil; ether; acetal; aldol, aldehyde-alcohol; alkaloid; amide; rennet; azadirachtin; thiazine; cacodyl, tetramethyldiarsine; neurochemical; acyl anhydrides, acid anhydrides; acyl halide, acid halide; creosote, coal-tar creosote; creosote; nitrile, nitril, cyanide; cyanohydrin; ester; furan, furane, furfuran; glycoside; resin, rosin; halocarbon; hemiacetal; hemolysin, haemolysin, erythrolysin, erythrocytolysin; humic substance; hydrocarbon; ketone; macromolecule, supermolecule; nitrobenzene; oxime; petrochemical; phosphocreatine, creatine phosphate, creatine phosphoric acid; phenol; pyrimidine; quassia; steroid; nonsteroid, nonsteroidal; thiouracil; urea, carbamide; imide; xanthine"
omw-en31-14626007-n,i113759,n,omw-en31-14831008-n,amino acid,амінокислота,амінокислота,"аміноалканова кислота, Амінокислота, аміноалканоєва кислота","amino acid, aminoalkanoic acid","органічні сполуки, що містять аміногрупу та групу карбонової кислоти",organic compounds containing an amino group and a carboxylic acid group,organic compound,"alanine; asparagine; aspartic acid; canavanine; citrulline; cysteine; cystine; dopa, dihydroxyphenylalanine; essential amino acid; gamma aminobutyric acid, GABA; glutamic acid, glutaminic acid; glutamine; glycine; hydroxyproline; iodoamino acid; ornithine; proline; creatine, creatin; sarcosine; serine; thyronine; tyramine; tyrosine"
omw-en31-14629965-n,i113780,n,omw-en31-14831008-n,essential amino acid,незамінна амінокислота,незамінна амінокислота,незамінна амінокислота,essential amino acid,"амінокислота, яка потрібна тваринам, але яку вони не можуть синтезувати",an amino acid that is required by animals but that they cannot synthesize; must be supplied in the diet,"amino acid, aminoalkanoic acid","arginine; histidine; isoleucine; leucine; lysine; methionine; phenylalanine; threonine; tryptophan, tryptophane; valine"
omw-en31-05397282-n,i65300,n,omw-en31-05296556-n,cardiac muscle,серцевий м'яз,серцевий м'яз,"серцевий м'яз, серцевий м’яз","cardiac muscle, heart muscle",м'язова тканина серця,the muscle tissue of the heart; adapted to continued rhythmic contraction,"muscle, muscular tissue","pacemaker, cardiac pacemaker, sinoatrial node, SA node; papillary muscle; atrioventricular bundle, bundle of His, atrioventricular trunk, truncus atrioventricularis; atrioventricular node; myocardium; Purkinje fiber; Purkinje network, Purkinje's tissue, Purkinje's system"
omw-en31-01889397-n,i45230,n,omw-en31-01864419-n,placental,плацентарний,плацентарний,евтеріан,"placental, placental mammal, eutherian, eutherian mammal","ссавці, що мають плаценту",mammals having a placenta; all mammals except monotremes and marsupials,"mammal, mammalian","livestock, stock, farm animal; bull; cow; yearling; buck; doe; insectivore; aquatic mammal; carnivore; Fissipedia; aardvark, ant bear, anteater, Orycteropus afer; bat, chiropteran; lagomorph, gnawing mammal; rodent, gnawer; Ungulata; ungulate, hoofed mammal; Unguiculata; unguiculate, unguiculate mammal; hyrax, coney, cony, dassie, das; pachyderm; edentate; pangolin, scaly anteater, anteater; primate; tree shrew; flying lemur, flying cat, colugo; proboscidean, proboscidian; plantigrade mammal, plantigrade; digitigrade mammal, digitigrade"
omw-en31-02397129-n,i48195,n,omw-en31-01864419-n,even-toed ungulate,парнокопитні парнокопитні,парнокопитні,парнокопитні ссавці,"even-toed ungulate, artiodactyl, artiodactyl mammal","плацентарний ссавець, що має копита з парною кількістю функціональних пальців на кожній нозі",placental mammal having hooves with an even number of functional toes on each foot,"ungulate, hoofed mammal","swine; peccary, musk hog; hippopotamus, hippo, river horse, Hippopotamus amphibius; ruminant; camel; llama; vicuna, Vicugna vicugna"
omw-en31-02401652-n,i48221,n,omw-en31-01864419-n,ruminant,жуйна тварина,жуйні,"жуйник, жуйні",ruminant,"будь-який з різних жалювальних копитних ссавців, що мають шлунок, розділений на чотири (іноді три) відсіки",any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments,"even-toed ungulate, artiodactyl, artiodactyl mammal","pollard; bovid; pronghorn, prongbuck, pronghorn antelope, American antelope, Antilocapra americana; deer, cervid; chevrotain, mouse deer; giraffe, camelopard, Giraffa camelopardalis"
omw-en31-03458753-n,i54402,n,omw-en31-02746552-n,graphic art,графічне мистецтво,графічне мистецтво,"графічне мистецтво, графіка",graphic art,мистецтво малювання або живопису або друку,the arts of drawing or painting or printmaking,"art, fine art","graphics; painting, picture; print; scene, view"
omw-en31-03882197-n,i56911,n,omw-en31-02746552-n,painting,живопис,живопис,"живопис, малюнок, картина","painting, picture","графіка, що складається з художньої композиції, виконаної шляхом нанесення фарб на поверхню",graphic art consisting of an artistic composition made by applying paints to a surface,graphic art,"abstraction; cityscape; daub; distemper; finger-painting; icon, ikon; landscape; miniature, illumination; monochrome; mural, wall painting; nude, nude painting; oil painting; pentimento; sand painting; seascape, waterscape; semi-abstraction; still life; tanka; trompe l'oeil; watercolor, water-color, watercolour, water-colour"
omw-en31-03849869-n,i56715,n,omw-en31-02746552-n,oil painting,олійний живопис,олійний живопис,"Олійний живопис, картина маслом",oil painting,"картина, намальована олійними фарбами",a picture painted with oil paints,"painting, picture","canvas, canvass"
omw-en31-13267561-n,i106254,n,omw-en31-13267374-n,estate,маєток,маєток,"земля, земельна нерухомість, маєток, земельний маєток","estate, land, landed estate, acres, demesne","велика земельна власність (особливо в країні), що зберігається власником для власного користування",extensive landed property (especially in the country) retained by the owner for his own use,"real property, real estate, realty, immovable","freehold; glebe; leasehold; smallholding; homestead; fief, feoff; barony; countryseat; Crown land; manor; seigneury, seigniory, signory; hacienda; plantation; entail"
omw-en31-00716196-n,i39190,n,omw-en31-00607485-n,handicraft,ремесло,хендмейд,ремесло,handicraft,"ремесло, яке вимагає вмілих рук",a craft that requires skillful hands,"trade, craft; arts and crafts","bookbinding; sewing, stitching; spinning; weaving; knitting; crocheting; lace making, tatting; needlework, needlecraft"
omw-en31-08076706-n,i79561,n,omw-en31-08072983-n,firm,фірма,фірма,"фірма, комерційна фірма, бізнес-фірма","firm, house, business firm","члени підприємницької організації, яка володіє або управляє одним або декількома установами",the members of a business organization that owns or operates one or more establishments,"business, concern, business concern, business organization, business organisation","corporation, corp; accounting firm; consulting firm, consulting company; publisher, publishing house, publishing firm, publishing company; dealer; law firm; auction house"
omw-en31-14911177-n,i115306,n,omw-en31-14874653-n,glyceryl ester,гліцериловий ефір,гліцериловий ефір,"ефір гліцерину, Гліцериловий ефір",glyceryl ester,ефір гліцерину,an ester of glycerol,ester,"butyrin; glyceride, acylglycerol; glycerin jelly; glycerite, glycerole; glycerogelatin, glycerogel; palmitin; stearin; margarin, glycerol trimargarate; triolein, olein; tripalmitin, glycerol tripalmitate; tristearin, glycerol tristearate"
omw-en31-01855502-n,i45085,n,omw-en31-01848972-n,sea duck,морська качка,морська качка,морська качка,sea duck,"будь-яка з різних великих качок, що пірнають уздовж узбережжя: гага",any of various large diving ducks found along the seacoast: eider; scoter; merganser,duck,"eider, eider duck; scoter, scooter; old squaw, oldwife, Clangula hyemalis; merganser, fish duck, sawbill, sheldrake"
omw-en31-06893714-n,i72657,n,omw-en31-05773412-n,emblem,емблема,емблема,"емблема, Алегорія","emblem, allegory","видимий символ, що представляє абстрактну ідею",a visible symbol representing an abstract idea,"symbol, symbolization, symbolisation, symbolic representation","scarlet letter; cupid; donkey; dove; eagle; elephant; fasces; national flag, ensign; hammer and sickle; red flag; Star of David, Shield of David, Magen David, Mogen David, Solomon's seal; badge; Agnus Dei, Paschal Lamb; maple-leaf; medallion; spread eagle; swastika, Hakenkreuz"
omw-en31-05801008-n,i67330,n,omw-en31-05778923-n,explanation,пояснення,пояснення,пояснення,explanation,"думка, яка робить щось зрозумілим",thought that makes something comprehensible,"thinking, thought, thought process, cerebration, intellection, mentation","interpretation, interpreting, rendition, rendering; rationale, principle; key; rationalization, rationalisation; theory"
omw-en31-05998364-n,i68297,n,omw-en31-05778923-n,theory,теорія,теорія,теорія,theory,добре обґрунтоване пояснення деяких аспектів світу природи,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena,explanation,"reductionism; blastogenesis; preformation, theory of preformation; scientific theory; field theory; economic theory; atomism, atomic theory, atomist theory, atomistic theory; holism, holistic theory; structuralism, structural sociology; structuralism, structural anthropology"
omw-en31-06002729-n,i68313,n,omw-en31-05778923-n,scientific theory,наукова теорія,наукова теорія,Наукова теорія,scientific theory,"теорія, яка пояснює наукові спостереження",a theory that explains scientific observations,theory,"big-bang theory, big bang theory; nebular hypothesis; planetesimal hypothesis; steady state theory, continuous creation theory; theory of gravitation, theory of gravity, gravitational theory, Newton's theory of gravitation; organicism; atomic theory; cell theory, cell doctrine; wave theory, undulatory theory, wave theory of light; corpuscular theory, corpuscular theory of light; kinetic theory, kinetic theory of gases; relativity, theory of relativity, relativity theory, Einstein's theory of relativity; supersymmetry; quantum theory; uncertainty principle, indeterminacy principle; germ theory; information theory; theory of dissociation, theory of electrolytic dissociation, Arrhenius theory of dissociation; theory of evolution, theory of organic evolution, evolutionism; theory of indicators, Ostwald's theory of indicators; theory of inheritance; associationism, association theory; atomism; functionalism; Gestalt psychology, configurationism; game theory, theory of games"
omw-en31-06118834-n,i68726,n,omw-en31-05778923-n,theory of evolution,теорія еволюції,Теорія еволюції,"еволюціонізм, Теорія органічної еволюції","theory of evolution, theory of organic evolution, evolutionism",(біологія) наукова теорія походження видів рослин і тварин,(biology) a scientific theory of the origin of species of plants and animals,scientific theory,"Darwinism; Lamarckism; punctuated equilibrium, theory of punctuated equilibrium"
omw-en31-06119698-n,i68730,n,omw-en31-05778923-n,Darwinism,Дарвінізм,Дарвінізм,Дарвінізм,Darwinism,"теорія органічної еволюції, яка стверджує, що нові види виникають і зберігаються в результаті природного відбору",a theory of organic evolution claiming that new species arise and are perpetuated by natural selection,"theory of evolution, theory of organic evolution, evolutionism",neo-Darwinism
omw-en31-14728801-n,i114269,n,omw-en31-14726577-n,cement,цемент,цемент,цемент,cement,"те, що твердне, щоб діяти як клейовий матеріал",something that hardens to act as adhesive material,"adhesive material, adhesive agent, adhesive","glue, gum, mucilage; putty; iron putty; red-lead putty; mastic"
